arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
cpu,rotor,hll,230,6.9750040590e-02,2.6925037114e-04,3.7140153077e+00,2.6369558381e+00,2.8148807264e+00,3.7140153077e+00,1.2711493087e+01,9.1473781787e-01,2.4609641231e+00,2.1255236855e-01,2.7964977924e+00,1.4344951989e+00,0.0000000000e+00,2.5088803207e-01,1.0958119508e+04,8.2888264581e+00,0
cpu,rotor,hll,235,7.1096819649e-02,2.6953914032e-04,3.7100363191e+00,2.6448407387e+00,2.8233959463e+00,3.7100363191e+00,1.2676382251e+01,9.1613785345e-01,2.4476564109e+00,2.0529454648e-01,2.7890512393e+00,1.4259785286e+00,0.0000000000e+00,2.6152980528e-01,1.1029200453e+04,8.6915447648e+00,0
cpu,rotor,hll,240,7.2445213929e-02,2.6983420205e-04,3.7059794215e+00,2.6534260799e+00,2.8312880507e+00,3.7059794215e+00,1.2630881746e+01,9.1745065584e-01,2.4335584865e+00,1.9811208505e-01,2.7808182963e+00,1.4170103544e+00,0.0000000000e+00,2.6024707793e-01,1.1080739446e+04,8.6419882126e+00,0
cpu,rotor,hll,245,7.3794980137e-02,2.7017425424e-04,3.7013149267e+00,2.6608957533e+00,2.8387723102e+00,3.7013149267e+00,1.2603572777e+01,9.1877870187e-01,2.4187309976e+00,1.9130579660e-01,2.7722821065e+00,1.4081819064e+00,0.0000000000e+00,2.5188297292e-01,1.1147064296e+04,8.1570114702e+00,0
cpu,rotor,hll,250,7.5146736296e-02,2.7059789040e-04,3.6955203106e+00,2.6676689333e+00,2.8464431670e+00,3.6955203106e+00,1.2560624095e+01,9.2012032949e-01,2.4033851058e+00,1.8486343032e-01,2.7641992135e+00,1.3994265304e+00,0.0000000000e+00,2.6059028839e-01,1.1227280668e+04,8.2769741238e+00,0
cpu,rotor,hll,255,7.6500485095e-02,2.7100813831e-04,3.6899260894e+00,2.6746517617e+00,2.8532446412e+00,3.6899260894e+00,1.2520731716e+01,9.2143188453e-01,2.3876362363e+00,1.7855346651e-01,2.7555233870e+00,1.3903741940e+00,0.0000000000e+00,2.5166716886e-01,1.1298398899e+04,8.1036741414e+00,0
cpu,rotor,hll,260,7.7856479317e-02,2.7147875794e-04,3.6835294503e+00,2.6819768870e+00,2.8599213164e+00,3.6835294503e+00,1.2482352203e+01,9.1968809529e-01,2.3731949290e+00,1.7242700638e-01,2.7465809997e+00,1.3811697522e+00,0.0000000000e+00,2.6016264382e-01,1.1360009391e+04,7.4745907556e+00,0
cpu,rotor,hll,265,7.9214558932e-02,2.7184057486e-04,3.6786267117e+00,2.6883227561e+00,2.8668053342e+00,3.6786267117e+00,1.2428224656e+01,9.1221480738e-01,2.3581941318e+00,1.6672870410e-01,2.7371268850e+00,1.3722622430e+00,0.0000000000e+00,2.5325583685e-01,1.1392690966e+04,8.0102729474e+00,0
cpu,rotor,hll,270,8.0574686688e-02,2.7229627295e-04,3.6724703911e+00,2.6947203667e+00,2.8730831796e+00,3.6724703911e+00,1.2395024747e+01,9.0484760901e-01,2.3427669718e+00,1.6114853733e-01,2.7281772585e+00,1.3630836711e+00,0.0000000000e+00,2.4875002995e-01,1.1428669634e+04,7.8966299928e+00,0
cpu,rotor,hll,275,8.1936922759e-02,2.7264423996e-04,3.6677833361e+00,2.7007882588e+00,2.8790950774e+00,3.6677833361e+00,1.2347743421e+01,8.9766368483e-01,2.3270573886e+00,1.5572643825e-01,2.7189476727e+00,1.3537686030e+00,0.0000000000e+00,2.5620295685e-01,1.1395159013e+04,7.3727458614e+00,0
cpu,rotor,hll,280,8.3300940672e-02,2.7308388725e-04,3.6618784435e+00,2.7059943700e+00,2.8845366912e+00,3.6618784435e+00,1.2295683658e+01,8.9037000040e-01,2.3113310507e+00,1.5061938788e-01,2.7095142910e+00,1.3445680613e+00,0.0000000000e+00,2.5082825498e-01,1.1477653526e+04,7.8235491949e+00,0
cpu,rotor,hll,285,8.4667159048e-02,2.7350966292e-04,3.6561779549e+00,2.7115646838e+00,2.8897859327e+00,3.6561779549e+00,1.2255336911e+01,8.8343069305e-01,2.2956652568e+00,1.4563237351e-01,2.6997346514e+00,1.3358043442e+00,0.0000000000e+00,2.5097686243e-01,1.1593406231e+04,7.5434041563e+00,0
cpu,rotor,hll,290,8.6035816353e-02,2.7406304704e-04,3.6487954535e+00,2.7156351177e+00,2.8950695742e+00,3.6487954535e+00,1.2198859744e+01,8.7637716099e-01,2.2800663574e+00,1.4080849127e-01,2.6906089666e+00,1.3271116186e+00,0.0000000000e+00,2.5190041284e-01,1.1636978009e+04,7.1231640523e+00,0
cpu,rotor,hll,295,8.7407127568e-02,2.7458513443e-04,3.6418577506e+00,2.7197204288e+00,2.8990043958e+00,3.6418577506e+00,1.2151856763e+01,8.6937233315e-01,2.2646076458e+00,1.3618375195e-01,2.6812962407e+00,1.3184005075e+00,0.0000000000e+00,2.4378288881e-01,1.1716721543e+04,7.3070666963e+00,0
cpu,rotor,hll,300,8.8781293360e-02,2.7519072567e-04,3.6338433920e+00,2.7242501205e+00,2.9031828406e+00,3.6338433920e+00,1.2100688718e+01,8.6249470653e-01,2.2498477666e+00,1.3172340508e-01,2.6717203410e+00,1.3095577466e+00,0.0000000000e+00,2.5027858233e-01,1.1765944732e+04,7.1540363235e+00,0
cpu,rotor,hll,305,9.0158373351e-02,2.7575967346e-04,3.6263460405e+00,2.7273221575e+00,2.9076967907e+00,3.6263460405e+00,1.2035686631e+01,8.5569939896e-01,2.2348157702e+00,1.2741925695e-01,2.6616739256e+00,1.3009579654e+00,0.0000000000e+00,2.4744730953e-01,1.1806359523e+04,6.7441896727e+00,0
cpu,rotor,hll,310,9.1538389028e-02,2.7638719894e-04,3.6181125747e+00,2.7313136147e+00,2.9111128821e+00,3.6181125747e+00,1.1990505994e+01,8.4898038853e-01,2.2195617290e+00,1.2326727060e-01,2.6517864171e+00,1.2924292697e+00,0.0000000000e+00,2.4166159923e-01,1.1853966228e+04,6.7062236998e+00,0
cpu,rotor,hll,315,9.2921472028e-02,2.7697801715e-04,3.6103948258e+00,2.7347073414e+00,2.9151340970e+00,3.6103948258e+00,1.1932176316e+01,8.4221786667e-01,2.2041122229e+00,1.1928370512e-01,2.6421084775e+00,1.2839110138e+00,0.0000000000e+00,2.4433272184e-01,1.1891487637e+04,6.7872262709e+00,0
cpu,rotor,hll,320,9.4307682626e-02,2.7762991353e-04,3.6019173413e+00,2.7383446577e+00,2.9192442302e+00,3.6019173413e+00,1.1867247256e+01,8.3568516542e-01,2.1884724710e+00,1.1546263459e-01,2.6322365703e+00,1.2755116948e+00,0.0000000000e+00,2.4251329740e-01,1.1975685516e+04,6.6672619473e+00,0
cpu,rotor,hll,325,9.5697142834e-02,2.7826584177e-04,3.5936857849e+00,2.7418038905e+00,2.9229083313e+00,3.5936857849e+00,1.1814405042e+01,8.2897277887e-01,2.1727696164e+00,1.1177518231e-01,2.6221861913e+00,1.2670984326e+00,0.0000000000e+00,2.3659784153e-01,1.2079087239e+04,6.7999205518e+00,0
cpu,rotor,hll,330,9.7089800883e-02,2.7895359588e-04,3.5848256296e+00,2.7447417517e+00,2.9260851341e+00,3.5848256296e+00,1.1755688281e+01,8.2235971673e-01,2.1581761361e+00,1.0823680262e-01,2.6119991023e+00,1.2586317933e+00,0.0000000000e+00,2.4083272541e-01,1.2136523580e+04,6.7078476739e+00,0
cpu,rotor,hll,335,9.8486049354e-02,2.7967657915e-04,3.5755586079e+00,2.7477392503e+00,2.9296350910e+00,3.5755586079e+00,1.1691236773e+01,8.1582099057e-01,2.1434995484e+00,1.0484121419e-01,2.6016583099e+00,1.2501516101e+00,0.0000000000e+00,2.3911834203e-01,1.2231226176e+04,6.7577125879e+00,0
cpu,rotor,hll,340,9.9885781741e-02,2.8036031633e-04,3.5668386065e+00,2.7506651108e+00,2.9335271514e+00,3.5668386065e+00,1.1632977753e+01,8.0936234611e-01,2.1287137540e+00,1.0155513343e-01,2.5912903961e+00,1.2417313192e+00,0.0000000000e+00,2.3288545537e-01,1.2297550336e+04,6.7848857963e+00,0
cpu,rotor,hll,345,1.0128909017e-01,2.8112735057e-04,3.5571067631e+00,2.7537293086e+00,2.9365414117e+00,3.5571067631e+00,1.1575468412e+01,8.0293007765e-01,2.1137482061e+00,9.8392331674e-02,2.5811591663e+00,1.2332830931e+00,0.0000000000e+00,2.3547222367e-01,1.2327024996e+04,6.6672799327e+00,0
cpu,rotor,hll,350,1.0269626300e-01,2.8191629555e-04,3.5471521718e+00,2.7559554147e+00,2.9395690770e+00,3.5471521718e+00,1.1513678546e+01,7.9646972771e-01,2.0986875799e+00,9.5364777969e-02,2.5709314828e+00,1.2248659141e+00,0.0000000000e+00,2.3686153026e-01,1.2351283865e+04,6.7127677174e+00,0
cpu,rotor,hll,355,1.0410739465e-01,2.8270758609e-04,3.5372237931e+00,2.7587569747e+00,2.9428120128e+00,3.5372237931e+00,1.1450084570e+01,7.9015905141e-01,2.0837655271e+00,9.2439665362e-02,2.5606900984e+00,1.2165100654e+00,0.0000000000e+00,2.3110822823e-01,1.2409929661e+04,6.6883110882e+00,0
cpu,rotor,hll,360,1.0552261304e-01,2.8353842234e-04,3.5268588706e+00,2.7611907078e+00,2.9460415449e+00,3.5268588706e+00,1.1394057472e+01,7.8386054898e-01,2.0696816674e+00,8.9598750693e-02,2.5503222681e+00,1.2081595492e+00,0.0000000000e+00,2.3220694663e-01,1.2400937072e+04,6.5924287590e+00,0
cpu,rotor,hll,365,1.0694198293e-01,2.8440115955e-04,3.5161600662e+00,2.7637226215e+00,2.9485061021e+00,3.5161600662e+00,1.1334273615e+01,7.7754755105e-01,2.0555024810e+00,8.6877915966e-02,2.5397517727e+00,1.1998231016e+00,0.0000000000e+00,2.2838081956e-01,1.2423403461e+04,6.5501470956e+00,0
cpu,rotor,hll,370,1.0836568638e-01,2.8526076760e-04,3.5055644294e+00,2.7654546313e+00,2.9511988523e+00,3.5055644294e+00,1.1274131421e+01,7.7140558018e-01,2.0413389483e+00,8.4271829651e-02,2.5293399252e+00,1.1915048801e+00,0.0000000000e+00,2.2536160918e-01,1.2483333325e+04,6.4618084422e+00,0
cpu,rotor,hll,375,1.0979381906e-01,2.8618854738e-04,3.4941999222e+00,2.7681466721e+00,2.9537812327e+00,3.4941999222e+00,1.1211351789e+01,7.6517536897e-01,2.0275777367e+00,8.1740266044e-02,2.5189329107e+00,1.1831727008e+00,0.0000000000e+00,2.2353259765e-01,1.2515401413e+04,6.7336350983e+00,0
cpu,rotor,hll,380,1.1122660992e-01,2.8712320225e-04,3.4828254637e+00,2.7702883457e+00,2.9563513291e+00,3.4828254637e+00,1.1152642467e+01,7.5909941795e-01,2.0139937625e+00,7.9295654177e-02,2.5084910533e+00,1.1749316430e+00,0.0000000000e+00,2.2613592412e-01,1.2550294368e+04,6.6532298687e+00,0
