arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
cpu,orszag_tang,hll,230,1.2433856288e+00,5.1024525911e-03,2.5654269503e+00,1.7035793363e+00,1.7652938938e+00,2.5654269503e+00,7.4198853286e+00,1.0602599014e+00,8.8706945173e+00,3.3400472347e-01,2.2434742766e+00,1.8557909727e+00,0.0000000000e+00,2.3844639886e-01,1.7738712404e+03,1.5939424178e+00,0
cpu,orszag_tang,hll,235,1.2688666892e+00,5.0881486804e-03,2.5726389326e+00,1.7042265648e+00,1.7689927994e+00,2.5726389326e+00,7.3489860065e+00,1.0357681847e+00,8.6961309677e+00,3.2129959268e-01,2.2509658326e+00,1.8442700694e+00,0.0000000000e+00,2.3475042551e-01,1.8052297839e+03,1.5294268233e+00,0
cpu,orszag_tang,hll,240,1.2942812509e+00,5.0761510135e-03,2.5787194580e+00,1.7052171614e+00,1.7728041377e+00,2.5787194580e+00,7.2548630417e+00,1.0121208068e+00,8.5026350040e+00,3.0919908050e-01,2.2580424124e+00,1.8341229242e+00,0.0000000000e+00,2.3040280217e-01,1.8349192317e+03,1.4380743907e+00,0
cpu,orszag_tang,hll,245,1.3196395976e+00,5.0662354159e-03,2.5837665082e+00,1.7064359134e+00,1.7765196783e+00,2.5837665082e+00,7.1464127661e+00,9.8929307578e-01,8.2988867541e+00,2.9769800256e-01,2.2643184757e+00,1.8251623177e+00,0.0000000000e+00,2.2560230631e-01,1.8604298997e+03,1.3435509409e+00,0
cpu,orszag_tang,hll,250,1.3449529224e+00,5.0576773392e-03,2.5881384897e+00,1.7077201468e+00,1.7798857083e+00,2.5881384897e+00,7.0277231373e+00,9.6727302017e-01,8.0840905645e+00,2.8674530261e-01,2.2696130187e+00,1.8172153265e+00,0.0000000000e+00,2.2046308315e-01,1.8880604957e+03,1.2293392250e+00,0
cpu,orszag_tang,hll,255,1.3702281011e+00,5.0511558616e-03,2.5914799996e+00,1.7089510747e+00,1.7832209398e+00,2.5914799996e+00,6.9039567165e+00,9.4601532227e-01,7.8590036482e+00,2.7634837813e-01,2.2744500546e+00,1.8104355816e+00,0.0000000000e+00,2.1591785930e-01,1.9152546918e+03,1.1347227306e+00,0
cpu,orszag_tang,hll,260,1.3954704216e+00,5.0445590901e-03,2.5948688788e+00,1.7100950629e+00,1.7863420082e+00,2.5948688788e+00,6.7805008350e+00,9.2554556381e-01,7.6313138338e+00,2.6646990779e-01,2.2783730049e+00,1.8045777368e+00,0.0000000000e+00,2.1175968866e-01,1.9371340764e+03,1.0307431743e+00,0
cpu,orszag_tang,hll,265,1.4206839470e+00,5.0398070382e-03,2.5973155898e+00,1.7111566487e+00,1.7892800489e+00,2.5973155898e+00,6.6574875623e+00,9.0580854017e-01,7.4161897113e+00,2.5708669022e-01,2.2814771633e+00,1.7992186095e+00,0.0000000000e+00,2.0612671504e-01,1.9536644957e+03,9.7329648520e-01,0
cpu,orszag_tang,hll,270,1.4458747121e+00,5.0362227438e-03,2.5991641069e+00,1.7121457330e+00,1.7920640672e+00,2.5991641069e+00,6.5340050064e+00,8.8672035585e-01,7.2004235091e+00,2.4816622635e-01,2.2839089956e+00,1.7938941679e+00,0.0000000000e+00,2.0751701733e-01,1.9628450847e+03,9.8462817857e-01,0
cpu,orszag_tang,hll,275,1.4710504726e+00,5.0338296090e-03,2.6003997764e+00,1.7131132661e+00,1.7947251849e+00,2.6003997764e+00,6.4103082371e+00,8.6832068170e-01,6.9862859256e+00,2.3966601787e-01,2.2859084127e+00,1.7902676502e+00,0.0000000000e+00,2.1224787651e-01,1.9668059833e+03,9.9396952420e-01,0
