phase,tag,x_bx,x_by,x_lb,y_bx,y_by,y_lb,repeat,measured_steps,wall_ms,ms_per_step,x_ms_per_step,y_ms_per_step,state_hash,correctness,binary
x,x_x8x16_lb3_y16x8_lb0,8,16,3,16,8,0,5,500,1747.615945000,3.495231890,1.584072705,1.713836034,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb3_y16x8_lb0/main_gpu
y,y_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,1,500,1653.774936000,3.307549872,1.396502528,1.714472960,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb0/main_gpu
y,y_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,2,500,1652.971584000,3.305943168,1.396056063,1.713041409,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb0/main_gpu
y,y_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,3,500,1652.753172000,3.305506344,1.395843074,1.712769022,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb0/main_gpu
y,y_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,4,500,1652.432277000,3.304864554,1.395851265,1.712898046,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb0/main_gpu
y,y_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,5,500,1654.402447000,3.308804894,1.397481472,1.714341887,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb0/main_gpu
y,y_x16x8_lb3_y16x8_lb2,16,8,3,16,8,2,1,500,1659.212912000,3.318425824,1.396473856,1.723852792,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb2/main_gpu
y,y_x16x8_lb3_y16x8_lb2,16,8,3,16,8,2,2,500,1660.674059000,3.321348118,1.400829950,1.724358646,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb2/main_gpu
y,y_x16x8_lb3_y16x8_lb2,16,8,3,16,8,2,3,500,1658.840610000,3.317681220,1.398368257,1.723422716,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb2/main_gpu
y,y_x16x8_lb3_y16x8_lb2,16,8,3,16,8,2,4,500,1658.379201000,3.316758402,1.396703234,1.722636282,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb2/main_gpu
y,y_x16x8_lb3_y16x8_lb2,16,8,3,16,8,2,5,500,1658.444384000,3.316888768,1.397815296,1.723480056,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb2/main_gpu
y,y_x16x8_lb3_y16x8_lb3,16,8,3,16,8,3,1,500,1694.863851000,3.389727702,1.395789826,1.793212410,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb3/main_gpu
y,y_x16x8_lb3_y16x8_lb3,16,8,3,16,8,3,2,500,1697.088560000,3.394177120,1.397321728,1.796753411,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb3/main_gpu
y,y_x16x8_lb3_y16x8_lb3,16,8,3,16,8,3,3,500,1695.201470000,3.390402940,1.397065730,1.794267135,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb3/main_gpu
y,y_x16x8_lb3_y16x8_lb3,16,8,3,16,8,3,4,500,1696.412018000,3.392824036,1.397051392,1.797515266,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb3/main_gpu
y,y_x16x8_lb3_y16x8_lb3,16,8,3,16,8,3,5,500,1696.253710000,3.392507420,1.397176320,1.794631678,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/y_x16x8_lb3_y16x8_lb3/main_gpu
