experiment,source_job_task,source_job_id,array_task_id,source_file,is_canonical,backend,case,solver,n,repeat,repeats_requested,build_variant,threads,ranks,nx,ny,total_cells,steps,app_elapsed_s,steps_per_s,Mcell_updates_s,wall_seconds,user_seconds,sys_seconds,cpu_percent,max_rss_kb,major_page_faults,minor_page_faults,voluntary_context_switches,involuntary_context_switches,start_utc,end_utc,exit_status,hostname,git_branch,git_commit
euler,32181076_2,32181076,2,32181076_2/cpu_openmp/cpu_openmp_hlld.csv,1,cpu_openmp,blast_wave,hlld,1,1,3,repository_default_openmp,76,0,500,500,250000,2334,5.4347,429.47,107.4,5.484700928,410.89,0.19,7531%,146608,83,4610,183,3146,2026-07-26T21:37:47.204991323+00:00,2026-07-26T21:37:52.693033098+00:00,0,cpu-q-620,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32181076_2,32181076,2,32181076_2/cpu_openmp/cpu_openmp_hlld.csv,1,cpu_openmp,blast_wave,hlld,1,2,3,repository_default_openmp,76,0,500,500,250000,2334,5.2798,442.07,110.5,5.351509248,398.97,0.19,7525%,146760,73,5040,336,3888,2026-07-26T21:37:52.740089852+00:00,2026-07-26T21:37:58.094841044+00:00,0,cpu-q-620,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32181076_2,32181076,2,32181076_2/cpu_openmp/cpu_openmp_hlld.csv,1,cpu_openmp,blast_wave,hlld,1,3,3,repository_default_openmp,76,0,500,500,250000,2334,5.5128,423.38,105.8,5.557436160,416.94,0.07,7530%,148936,48,5254,150,3598,2026-07-26T21:37:58.140065512+00:00,2026-07-26T21:38:03.700614767+00:00,0,cpu-q-620,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32165882_2,32165882,2,32165882_2/cpu_openmp/cpu_openmp_hlld.csv,0,cpu_openmp,blast_wave,hlld,2,1,3,repository_default_openmp,76,0,1000,1000,1000000,4765,86.5450,55.06,55.1,86.669164800,6527.47,1.14,7535%,570500,105,4607,811,55300,2026-07-26T16:07:24.093740826+00:00,2026-07-26T16:08:50.766231789+00:00,0,cpu-q-477,3D_task,2430cd15090dffeafaf425880c476286841d434c
euler,32165882_2,32165882,2,32165882_2/cpu_openmp/cpu_openmp_hlld.csv,0,cpu_openmp,blast_wave,hlld,2,2,3,repository_default_openmp,76,0,1000,1000,1000000,4765,86.6622,54.98,55.0,86.781704192,6535.84,1.09,7534%,570364,83,5196,1062,52408,2026-07-26T16:08:50.813394786+00:00,2026-07-26T16:10:17.598176352+00:00,0,cpu-q-477,3D_task,2430cd15090dffeafaf425880c476286841d434c
euler,32165882_2,32165882,2,32165882_2/cpu_openmp/cpu_openmp_hlld.csv,0,cpu_openmp,blast_wave,hlld,2,3,3,repository_default_openmp,76,0,1000,1000,1000000,4765,86.4354,55.13,55.1,86.562198784,6518.07,1.10,7534%,570236,68,4668,1267,53551,2026-07-26T16:10:17.645175058+00:00,2026-07-26T16:11:44.210442889+00:00,0,cpu-q-477,3D_task,2430cd15090dffeafaf425880c476286841d434c
euler,32181076_2,32181076,2,32181076_2/cpu_openmp/cpu_openmp_hlld.csv,1,cpu_openmp,blast_wave,hlld,2,1,3,repository_default_openmp,76,0,1000,1000,1000000,4765,89.6809,53.13,53.1,89.792542720,6767.50,0.99,7540%,570460,98,5153,1176,52743,2026-07-26T21:41:12.985510402+00:00,2026-07-26T21:42:42.781227490+00:00,0,cpu-q-620,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32181076_2,32181076,2,32181076_2/cpu_openmp/cpu_openmp_hlld.csv,1,cpu_openmp,blast_wave,hlld,2,2,3,repository_default_openmp,76,0,1000,1000,1000000,4765,89.4382,53.28,53.3,89.551200512,6749.45,1.05,7540%,570416,102,5138,1070,55404,2026-07-26T21:42:42.828443910+00:00,2026-07-26T21:44:12.382737367+00:00,0,cpu-q-620,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32181076_2,32181076,2,32181076_2/cpu_openmp/cpu_openmp_hlld.csv,1,cpu_openmp,blast_wave,hlld,2,3,3,repository_default_openmp,76,0,1000,1000,1000000,4765,90.0578,52.91,52.9,90.188108544,6796.38,1.00,7540%,570496,110,4618,1039,52750,2026-07-26T21:44:12.430478316+00:00,2026-07-26T21:45:42.621662590+00:00,0,cpu-q-620,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32165882_2,32165882,2,32165882_2/cpu_openmp/cpu_openmp_hlld.csv,0,cpu_openmp,blast_wave,hlld,4,1,1,repository_default_openmp,76,0,2000,2000,4000000,9751,814.2803,11.97,47.9,814.677070080,61490.50,6.37,7548%,2263188,72,5824,41024,461258,2026-07-26T16:26:58.481841048+00:00,2026-07-26T16:40:33.162137449+00:00,0,cpu-q-477,3D_task,2430cd15090dffeafaf425880c476286841d434c
euler,32181076_2,32181076,2,32181076_2/cpu_openmp/cpu_openmp_hlld.csv,1,cpu_openmp,blast_wave,hlld,4,1,1,repository_default_openmp,76,0,2000,2000,4000000,9751,815.3188,11.96,47.8,815.691119104,61557.98,5.52,7547%,2262980,89,5293,129459,468462,2026-07-26T22:01:05.144267310+00:00,2026-07-26T22:14:40.838429739+00:00,0,cpu-q-620,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,shock_bubble,force,1,1,3,repository_default_openmp,76,0,500,197,98500,6544,8.0374,814.19,80.2,8.077875200,608.79,0.19,7560%,61184,41,4544,161,5389,2026-07-26T22:19:09.475631375+00:00,2026-07-26T22:19:17.556492157+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,shock_bubble,force,1,2,3,repository_default_openmp,76,0,500,197,98500,6544,8.1804,799.96,78.8,8.221471232,619.71,0.15,7566%,63224,34,4531,295,5580,2026-07-26T22:19:18.481600803+00:00,2026-07-26T22:19:26.706259572+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,shock_bubble,force,1,3,3,repository_default_openmp,76,0,500,197,98500,6544,8.1363,804.30,79.2,8.191318016,616.68,0.07,7569%,60880,55,5017,155,5370,2026-07-26T22:19:26.753289978+00:00,2026-07-26T22:19:34.947814760+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,shock_bubble,force,2,1,3,repository_default_openmp,76,0,1000,394,394000,13721,56.1870,244.20,96.2,56.279604992,4246.99,0.59,7554%,228596,29,5035,550,36844,2026-07-26T22:19:50.525456027+00:00,2026-07-26T22:20:46.808322902+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,shock_bubble,force,2,2,3,repository_default_openmp,76,0,1000,394,394000,13721,55.4736,247.34,97.5,55.528605440,4193.56,0.54,7555%,228600,37,4478,603,35680,2026-07-26T22:20:46.852886148+00:00,2026-07-26T22:21:42.384821399+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,shock_bubble,force,2,3,3,repository_default_openmp,76,0,1000,394,394000,13721,57.4107,239.00,94.2,57.485607424,4340.03,0.67,7555%,230244,57,4451,691,36445,2026-07-26T22:21:42.431898388+00:00,2026-07-26T22:22:39.920604857+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32169902_3,32169902,3,32169902_3/cpu_openmp/cpu_openmp_force.csv,1,cpu_openmp,shock_bubble,force,4,1,1,repository_default_openmp,76,0,2000,788,1576000,28435,886.4814,32.08,50.6,886.658148608,66931.28,9.63,7550%,897208,78,4653,7931,558588,2026-07-26T22:26:56.367344837+00:00,2026-07-26T22:41:43.028607010+00:00,0,cpu-q-523,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,shock_bubble,hll,1,1,3,repository_default_openmp,76,0,500,197,98500,6294,8.3958,749.66,73.8,8.477550848,635.52,0.13,7527%,61176,32,4487,78,4613,2026-07-26T07:02:28.613519477+00:00,2026-07-26T07:02:37.100059416+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,shock_bubble,hll,1,2,3,repository_default_openmp,76,0,500,197,98500,6294,8.2914,759.10,74.8,8.339554304,627.34,0.12,7540%,61284,12,4494,167,4678,2026-07-26T07:02:38.118834552+00:00,2026-07-26T07:02:46.466953320+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
